x,y
5.6054,1.6379
5.6052,1.6785
5.6049,1.7192
5.6046,1.7153
5.6043,1.7114
5.6041,1.7189
5.6038,1.6353
5.6035,1.4706
5.6032,1.3969
5.6030,1.3423
5.6027,1.2876
5.6024,1.2500
5.6021,1.2125
5.6019,1.2204
5.6016,1.2283
5.6013,1.2005
5.6010,1.1726
5.6008,1.1903
5.6005,1.2079
5.6002,1.2389
5.5999,1.2698
5.5997,1.2249
5.5994,1.1800
5.5991,1.1426
5.5988,1.1053
5.5986,1.0869
5.5983,1.1596
5.5980,1.2844
5.5977,1.3182
5.5975,1.3330
5.5972,1.3479
5.5969,1.3877
5.5966,1.4276
5.5964,1.5244
5.5961,1.5301
5.5958,1.4912
5.5955,1.5434
5.5953,1.6867
5.5950,1.7389
5.5947,1.7664
5.5944,1.8850
5.5942,2.0378
5.5939,2.1905
5.5936,2.2607
5.5933,2.3310
5.5931,2.4467
5.5928,2.5625
5.5925,2.6985
5.5922,2.8345
5.5920,3.0161
5.5917,3.2887
5.5914,3.7083
5.5911,4.2190
5.5909,4.7753
5.5906,5.4226
5.5903,6.0191
5.5900,6.4639
5.5898,6.8935
5.5895,7.2320
5.5892,7.4548
5.5889,7.5866
5.5887,7.7127
5.5884,7.8387
5.5881,7.8920
5.5878,7.8542
5.5876,7.7709
5.5873,7.7786
5.5870,7.7237
5.5867,7.6689
5.5865,7.6595
5.5862,7.6502
5.5859,7.5626
5.5856,7.3840
5.5854,7.2053
5.5851,7.0267
5.5848,6.7683
5.5845,6.4189
5.5843,5.8988
5.5840,5.2876
5.5837,4.7407
5.5834,4.1938
5.5832,3.5558
5.5829,2.9178
5.5826,2.4155
5.5823,2.0042
5.5821,1.7029
5.5818,1.4017
5.5815,1.1526
5.5812,1.0553
5.5810,0.9751
5.5807,0.8038
5.5804,0.7349
5.5801,0.7571
5.5799,0.6769
5.5796,0.5966
5.5793,0.5635
5.5790,0.5305
5.5788,0.4974
5.5785,0.4643
5.5782,0.4426
5.5779,0.4209
5.5777,0.4903
5.5774,0.5596
5.5771,0.5946
5.5768,0.6296
5.5766,0.6247
5.5763,0.6199
5.5760,0.6065
5.5757,0.6841
5.5755,0.7106
5.5752,0.7370
5.5749,0.7768
5.5746,0.8167
5.5744,0.8508
5.5741,0.8850
5.5738,0.9020
5.5735,0.8281
5.5733,0.8053
5.5730,0.7825
5.5727,0.7595
5.5724,0.7365
5.5722,0.7135
5.5719,0.6905
5.5716,0.6675
5.5713,0.6445
5.5710,0.6215
5.5708,0.5985
5.5705,0.5701
5.5702,0.5417
5.5699,0.5132
5.5697,0.4848
5.5694,0.5048
5.5691,0.5247
5.5688,0.5503
5.5686,0.4849
5.5683,0.4228
5.5680,0.3607
5.5677,0.3840
5.5675,0.4073
5.5672,0.4599
5.5669,0.5126
5.5666,0.5349
5.5664,0.4662
5.5661,0.4432
5.5658,0.5720
5.5655,0.6097
5.5653,0.6475
5.5650,0.6207
5.5647,0.5939
5.5644,0.5672
5.5642,0.5404
5.5639,0.6287
5.5636,0.7169
5.5633,0.8051
5.5631,0.8934
5.5628,0.9133
5.5625,0.9333
5.5622,1.0443
5.5620,1.1553
5.5617,1.1749
5.5614,1.1944
5.5611,1.1742
5.5609,1.0628
5.5606,0.8908
5.5603,0.7187
5.5600,0.6928
5.5598,0.6668
5.5595,0.6302
5.5592,0.5935
5.5589,0.5569
5.5587,0.5203
5.5584,0.4400
5.5581,0.3597
5.5578,0.2794
5.5576,0.1992
5.5573,0.2556
5.5570,0.3121
5.5567,0.3685
5.5565,0.4249
5.5562,0.4434
5.5559,0.4619
5.5556,0.4804
5.5554,0.4989
5.5551,0.4828
5.5548,0.4667
5.5545,0.4505
5.5543,0.4344
5.5540,0.4382
5.5537,0.4420
5.5534,0.4003
5.5532,0.3585
5.5529,0.4159
5.5526,0.4732
5.5523,0.4908
5.5521,0.4172
5.5518,0.4660
5.5515,0.5149
5.5512,0.4669
5.5510,0.4190
5.5507,0.4958
5.5504,0.5726
5.5501,0.6096
5.5499,0.5555
5.5496,0.5298
5.5493,0.5042
5.5490,0.4729
5.5488,0.4415
5.5485,0.4885
5.5482,0.5354
5.5479,0.5766
5.5477,0.6178
5.5474,0.6268
5.5471,0.5447
5.5468,0.5196
5.5466,0.4944
5.5463,0.5461
5.5460,0.6888
5.5457,0.7803
5.5455,0.8718
5.5452,0.9216
5.5449,0.9713
5.5446,1.0211
5.5444,1.0709
5.5441,1.0816
5.5438,1.0923
5.5435,1.1940
5.5433,1.2958
5.5430,1.4108
5.5427,1.5259
5.5424,1.6921
5.5422,1.7674
5.5419,1.8463
5.5416,1.9253
5.5413,1.7919
5.5411,1.6584
